,numberOfFinalProperties,numberOfProperties,status,dateApproved,dateClosed,dateInitiallyApproved
50584,1,1,Closed,2016-07-20T00:00:00.000Z,2016-07-20T00:00:00.000Z,2013-07-25T00:00:00.000Z
50585,0,0,Closed,2014-10-29T00:00:00.000Z,2016-01-13T00:00:00.000Z,2014-10-29T00:00:00.000Z
50586,0,0,Closed,2015-05-28T00:00:00.000Z,2015-05-28T00:00:00.000Z,2013-09-06T00:00:00.000Z
50587,0,0,Closed,2014-01-08T00:00:00.000Z,2016-09-26T00:00:00.000Z,2014-01-08T00:00:00.000Z
50588,1,1,Closed,2023-11-09T00:00:00.000Z,2024-04-02T00:00:00.000Z,2013-01-16T00:00:00.000Z
50589,0,0,Closed,2018-04-19T00:00:00.000Z,2018-04-19T00:00:00.000Z,2013-03-19T00:00:00.000Z
50590,4,8,Closed,2017-12-20T00:00:00.000Z,2017-12-20T00:00:00.000Z,2013-01-10T00:00:00.000Z
50591,0,0,Closed,2020-11-20T00:00:00.000Z,2022-02-10T00:00:00.000Z,2016-12-20T00:00:00.000Z
50592,0,0,Closed,2016-08-17T00:00:00.000Z,2016-08-18T00:00:00.000Z,2012-11-23T00:00:00.000Z
50594,1,1,Closed,2015-10-27T00:00:00.000Z,2015-10-13T00:00:00.000Z,2014-06-09T00:00:00.000Z
50598,1,1,Closed,2009-06-18T00:00:00.000Z,2009-06-18T00:00:00.000Z,2006-12-14T00:00:00.000Z
50599,0,0,Closed,2013-09-10T00:00:00.000Z,2008-05-13T00:00:00.000Z,2007-04-20T00:00:00.000Z
50600,0,0,Closed,2009-06-25T00:00:00.000Z,2009-06-23T00:00:00.000Z,2004-08-06T00:00:00.000Z
50601,2,2,Closed,2011-07-11T00:00:00.000Z,2011-12-02T00:00:00.000Z,2007-02-05T00:00:00.000Z
50602,0,0,Closed,2010-06-23T00:00:00.000Z,2010-06-23T00:00:00.000Z,2008-03-11T00:00:00.000Z
50603,1,1,Closed,2009-07-29T00:00:00.000Z,2009-07-30T00:00:00.000Z,2007-01-05T00:00:00.000Z
50604,0,0,Closed,2012-07-24T00:00:00.000Z,2012-07-24T00:00:00.000Z,2008-05-07T00:00:00.000Z
50605,0,0,Closed,2018-10-31T00:00:00.000Z,2019-05-07T00:00:00.000Z,2014-10-02T00:00:00.000Z
50606,0,0,Closed,2015-08-19T00:00:00.000Z,2016-05-31T00:00:00.000Z,2015-08-19T00:00:00.000Z
50607,0,0,Closed,2017-02-03T00:00:00.000Z,2017-02-03T00:00:00.000Z,2015-01-28T00:00:00.000Z
50608,0,0,Closed,2016-12-21T00:00:00.000Z,2016-12-21T00:00:00.000Z,2015-04-21T00:00:00.000Z
50609,0,0,Closed,2023-08-26T00:00:00.000Z,2023-08-28T00:00:00.000Z,2017-12-06T00:00:00.000Z
50610,0,0,Closed,2019-08-08T00:00:00.000Z,2019-08-08T00:00:00.000Z,2016-01-15T00:00:00.000Z
50620,0,0,Closed,2004-05-05T00:00:00.000Z,2003-09-01T00:00:00.000Z,2001-07-09T00:00:00.000Z
50621,0,0,Closed,2005-08-18T00:00:00.000Z,2009-02-25T00:00:00.000Z,2004-10-22T00:00:00.000Z
50623,0,0,Closed,2005-07-08T00:00:00.000Z,2005-07-25T00:00:00.000Z,2002-01-18T00:00:00.000Z
50625,0,0,Closed,2004-05-19T00:00:00.000Z,2004-06-18T00:00:00.000Z,2002-01-14T00:00:00.000Z
50626,2,2,Closed,2006-10-20T00:00:00.000Z,2006-10-23T00:00:00.000Z,2003-04-15T00:00:00.000Z
50627,0,0,Closed,2014-09-16T00:00:00.000Z,2015-03-25T00:00:00.000Z,2003-01-28T00:00:00.000Z
50628,0,0,Closed,2006-09-19T00:00:00.000Z,2006-09-19T00:00:00.000Z,2002-04-09T00:00:00.000Z
50629,1,1,Closed,2013-11-18T00:00:00.000Z,2010-12-29T00:00:00.000Z,2004-03-16T00:00:00.000Z
50640,12,17,Closed,2014-12-19T00:00:00.000Z,2014-12-23T00:00:00.000Z,2010-08-04T00:00:00.000Z
50643,1,1,Closed,2020-09-17T00:00:00.000Z,2020-09-17T00:00:00.000Z,2012-12-11T00:00:00.000Z
50644,44,44,Closed,2017-02-17T00:00:00.000Z,2017-02-17T00:00:00.000Z,2011-04-04T00:00:00.000Z
50645,0,0,Closed,2014-01-17T00:00:00.000Z,2014-01-17T00:00:00.000Z,2008-08-22T00:00:00.000Z
50646,0,0,Closed,2013-10-04T00:00:00.000Z,2009-03-06T00:00:00.000Z,2007-12-15T00:00:00.000Z
50647,0,0,Closed,2011-07-16T00:00:00.000Z,2011-07-15T00:00:00.000Z,2008-05-23T00:00:00.000Z
50648,0,0,Closed,2012-03-06T00:00:00.000Z,2012-03-06T00:00:00.000Z,2008-12-08T00:00:00.000Z
50658,0,0,Closed,2001-10-15T00:00:00.000Z,2003-01-08T00:00:00.000Z,2001-10-15T00:00:00.000Z
50660,0,0,Closed,2004-05-03T00:00:00.000Z,2004-04-06T00:00:00.000Z,2002-10-17T00:00:00.000Z
50661,0,0,Closed,2010-06-09T00:00:00.000Z,2010-05-10T00:00:00.000Z,2004-08-30T00:00:00.000Z
50664,1,1,Closed,2012-04-27T00:00:00.000Z,2016-01-04T00:00:00.000Z,2012-05-22T00:00:00.000Z
50666,0,0,Closed,2005-08-18T00:00:00.000Z,2009-07-07T00:00:00.000Z,2006-08-15T00:00:00.000Z
50669,0,0,Closed,2021-09-29T00:00:00.000Z,2022-08-17T00:00:00.000Z,2014-04-09T00:00:00.000Z
50670,0,0,Closed,2014-10-29T00:00:00.000Z,2015-02-06T00:00:00.000Z,2013-05-30T00:00:00.000Z
50672,1,1,Closed,2013-03-14T00:00:00.000Z,2013-03-13T00:00:00.000Z,2013-03-14T00:00:00.000Z
50673,0,0,Closed,2014-04-25T00:00:00.000Z,2014-09-04T00:00:00.000Z,2013-01-17T00:00:00.000Z
50674,1,1,Closed,2012-09-20T00:00:00.000Z,2015-08-31T00:00:00.000Z,2012-02-15T00:00:00.000Z
50675,3,12,Closed,2024-08-26T00:00:00.000Z,2024-08-26T00:00:00.000Z,2014-02-27T00:00:00.000Z
50676,4,8,Closed,2019-01-14T00:00:00.000Z,2019-01-15T00:00:00.000Z,2012-04-24T00:00:00.000Z
50677,0,0,Closed,2012-08-23T00:00:00.000Z,2013-09-30T00:00:00.000Z,2012-08-23T00:00:00.000Z
50680,1,1,Closed,2014-04-01T00:00:00.000Z,2014-04-01T00:00:00.000Z,2010-11-17T00:00:00.000Z
50681,0,0,Closed,2015-04-06T00:00:00.000Z,2015-04-06T00:00:00.000Z,2011-12-08T00:00:00.000Z
50682,0,0,Closed,2014-11-04T00:00:00.000Z,2015-03-26T00:00:00.000Z,2011-03-02T00:00:00.000Z
50686,0,0,Closed,2008-02-04T00:00:00.000Z,2008-01-10T00:00:00.000Z,2002-03-07T00:00:00.000Z
50687,0,0,Closed,2002-02-25T00:00:00.000Z,2010-01-12T00:00:00.000Z,2002-02-25T00:00:00.000Z
50690,9,16,Closed,2007-04-18T00:00:00.000Z,2007-04-18T00:00:00.000Z,2004-04-28T00:00:00.000Z
50691,1,1,Closed,2006-04-28T00:00:00.000Z,2006-10-12T00:00:00.000Z,2004-11-15T00:00:00.000Z
50693,0,0,Closed,2020-01-21T00:00:00.000Z,2022-01-10T00:00:00.000Z,2020-01-24T00:00:00.000Z
50694,0,0,Closed,2012-09-11T00:00:00.000Z,2017-10-23T00:00:00.000Z,2012-09-27T00:00:00.000Z
50695,0,0,Closed,2016-12-29T00:00:00.000Z,2022-11-30T00:00:00.000Z,2017-07-06T00:00:00.000Z
50696,0,0,Closed,2008-08-19T00:00:00.000Z,2012-03-01T00:00:00.000Z,2008-08-27T00:00:00.000Z
50697,0,0,Closed,2007-08-07T00:00:00.000Z,2011-06-30T00:00:00.000Z,2007-08-09T00:00:00.000Z
50699,0,0,Closed,2005-08-29T00:00:00.000Z,2010-01-14T00:00:00.000Z,2005-09-09T00:00:00.000Z
50700,0,0,Closed,2019-09-23T00:00:00.000Z,2022-08-05T00:00:00.000Z,2019-09-27T00:00:00.000Z
50702,59,59,Closed,2016-09-09T00:00:00.000Z,2022-05-10T00:00:00.000Z,2016-09-10T00:00:00.000Z
50706,204,271,Closed,2018-08-29T00:00:00.000Z,2018-04-11T00:00:00.000Z,2012-01-24T00:00:00.000Z
50707,0,0,Closed,2017-02-28T00:00:00.000Z,2021-06-30T00:00:00.000Z,2017-03-07T00:00:00.000Z
50710,0,0,Closed,2016-02-19T00:00:00.000Z,2017-10-27T00:00:00.000Z,2016-03-02T00:00:00.000Z
50719,82,141,Closed,2023-08-16T00:00:00.000Z,2023-08-17T00:00:00.000Z,2019-07-23T00:00:00.000Z
50720,1,1,Closed,2024-11-26T00:00:00.000Z,2024-11-26T00:00:00.000Z,2020-03-02T00:00:00.000Z
50723,0,0,Closed,2008-09-16T00:00:00.000Z,2012-12-19T00:00:00.000Z,2008-09-29T00:00:00.000Z
50726,7,7,Closed,2014-12-18T00:00:00.000Z,2019-08-19T00:00:00.000Z,2015-01-05T00:00:00.000Z
50731,0,0,Closed,2008-09-18T00:00:00.000Z,2011-10-12T00:00:00.000Z,2008-09-22T00:00:00.000Z
50732,11,11,Closed,2006-12-15T00:00:00.000Z,2010-10-08T00:00:00.000Z,2007-03-23T00:00:00.000Z
50738,0,0,Closed,2015-12-23T00:00:00.000Z,2019-07-02T00:00:00.000Z,2016-01-14T00:00:00.000Z
50740,1,1,Closed,2007-08-06T00:00:00.000Z,2010-02-12T00:00:00.000Z,2007-08-16T00:00:00.000Z
50742,0,0,Closed,2005-08-13T00:00:00.000Z,2011-01-04T00:00:00.000Z,2005-08-16T00:00:00.000Z
50743,1,1,Closed,2016-06-09T00:00:00.000Z,2016-06-02T00:00:00.000Z,2014-01-14T00:00:00.000Z
50744,0,0,Closed,2013-12-17T00:00:00.000Z,2017-08-13T00:00:00.000Z,2013-12-17T00:00:00.000Z
50745,78,79,Closed,2023-04-14T00:00:00.000Z,2023-04-14T00:00:00.000Z,2014-03-10T00:00:00.000Z
50746,0,0,Closed,2017-04-12T00:00:00.000Z,2017-04-12T00:00:00.000Z,2013-10-23T00:00:00.000Z
50747,0,0,Closed,2015-06-22T00:00:00.000Z,2015-06-25T00:00:00.000Z,2014-03-24T00:00:00.000Z
50748,25,49,Closed,2016-04-25T00:00:00.000Z,2016-04-22T00:00:00.000Z,2013-07-02T00:00:00.000Z
50749,0,0,Closed,2016-12-21T00:00:00.000Z,2016-12-21T00:00:00.000Z,2014-08-06T00:00:00.000Z
50754,0,0,Closed,2009-09-17T00:00:00.000Z,2009-09-17T00:00:00.000Z,2009-09-17T00:00:00.000Z
50756,0,0,Closed,2012-09-11T00:00:00.000Z,2016-12-30T00:00:00.000Z,2012-09-27T00:00:00.000Z
50760,0,0,Closed,2019-09-26T00:00:00.000Z,2025-01-27T00:00:00.000Z,2019-09-27T00:00:00.000Z
50769,0,0,Closed,2013-10-09T00:00:00.000Z,2013-10-09T00:00:00.000Z,2009-08-25T00:00:00.000Z
50770,0,0,Closed,2012-03-07T00:00:00.000Z,2012-03-08T00:00:00.000Z,2010-09-02T00:00:00.000Z
50771,0,0,Closed,2005-09-10T00:00:00.000Z,2011-12-06T00:00:00.000Z,2005-09-16T00:00:00.000Z
50772,1,1,Closed,2005-08-31T00:00:00.000Z,2009-05-08T00:00:00.000Z,2005-09-01T00:00:00.000Z
50774,1,1,Closed,2012-04-09T00:00:00.000Z,2012-04-07T00:00:00.000Z,2012-04-09T00:00:00.000Z
50775,0,0,Closed,2018-10-26T00:00:00.000Z,2018-11-19T00:00:00.000Z,2009-07-23T00:00:00.000Z
50776,17,24,Closed,2013-06-06T00:00:00.000Z,2013-05-31T00:00:00.000Z,2009-07-15T00:00:00.000Z
50777,1,1,Closed,2010-08-30T00:00:00.000Z,2010-08-30T00:00:00.000Z,2008-07-25T00:00:00.000Z
50778,2,2,Closed,2016-02-03T00:00:00.000Z,2016-02-03T00:00:00.000Z,2009-05-29T00:00:00.000Z
50779,0,0,Closed,2006-11-09T00:00:00.000Z,2006-09-20T00:00:00.000Z,2001-02-14T00:00:00.000Z
50780,1,1,Closed,2005-06-15T00:00:00.000Z,2005-06-15T00:00:00.000Z,2004-04-22T00:00:00.000Z
50784,3,3,Closed,2005-01-10T00:00:00.000Z,2003-07-02T00:00:00.000Z,2005-01-10T00:00:00.000Z
50786,0,0,Closed,2007-06-18T00:00:00.000Z,2007-06-04T00:00:00.000Z,2001-10-04T00:00:00.000Z
50787,0,0,Closed,2004-07-14T00:00:00.000Z,2004-07-14T00:00:00.000Z,2000-03-31T00:00:00.000Z
50788,1,1,Closed,2011-06-30T00:00:00.000Z,2013-12-05T00:00:00.000Z,2004-11-18T00:00:00.000Z
50789,1,1,Closed,2006-03-15T00:00:00.000Z,2006-03-15T00:00:00.000Z,2003-04-16T00:00:00.000Z
50790,1,5,Closed,2016-01-20T00:00:00.000Z,2016-01-20T00:00:00.000Z,2001-04-11T00:00:00.000Z
50791,1,2,Closed,2009-09-18T00:00:00.000Z,2009-09-18T00:00:00.000Z,2003-01-09T00:00:00.000Z
50792,0,0,Closed,2010-03-25T00:00:00.000Z,2012-11-01T00:00:00.000Z,2010-03-25T00:00:00.000Z
50796,3,3,Closed,2013-02-22T00:00:00.000Z,2013-02-22T00:00:00.000Z,2010-09-28T00:00:00.000Z
50798,0,0,Closed,2016-08-29T00:00:00.000Z,2016-08-29T00:00:00.000Z,2012-07-20T00:00:00.000Z
50799,1,1,Closed,2013-04-26T00:00:00.000Z,2013-04-29T00:00:00.000Z,2011-01-06T00:00:00.000Z
50800,1,1,Closed,2019-03-19T00:00:00.000Z,2019-03-19T00:00:00.000Z,2010-09-13T00:00:00.000Z
50801,0,0,Closed,2010-09-14T00:00:00.000Z,2013-06-17T00:00:00.000Z,2010-09-13T00:00:00.000Z
50802,0,0,Closed,2014-02-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,2010-12-09T00:00:00.000Z
50803,11,13,Closed,2014-12-09T00:00:00.000Z,2014-12-08T00:00:00.000Z,2010-04-26T00:00:00.000Z
50814,0,0,Closed,2022-02-04T00:00:00.000Z,2022-02-04T00:00:00.000Z,2017-01-04T00:00:00.000Z
50815,4,4,Closed,2024-04-04T00:00:00.000Z,2024-04-09T00:00:00.000Z,2017-02-01T00:00:00.000Z
50817,2,2,Closed,2023-07-07T00:00:00.000Z,2018-11-01T00:00:00.000Z,2017-11-20T00:00:00.000Z
50819,0,0,Closed,2023-04-28T00:00:00.000Z,2023-04-28T00:00:00.000Z,2023-04-13T00:00:00.000Z
50820,0,0,Closed,2021-05-04T00:00:00.000Z,2021-05-04T00:00:00.000Z,2021-05-04T00:00:00.000Z
50821,0,0,Closed,2017-01-03T00:00:00.000Z,2017-01-03T00:00:00.000Z,2014-12-17T00:00:00.000Z
50823,0,0,Closed,2017-05-26T00:00:00.000Z,2024-07-02T00:00:00.000Z,2014-08-19T00:00:00.000Z
50824,0,0,Closed,2019-04-11T00:00:00.000Z,2019-04-26T00:00:00.000Z,2014-11-22T00:00:00.000Z
50825,0,0,Closed,2014-05-14T00:00:00.000Z,2015-11-09T00:00:00.000Z,2014-05-14T00:00:00.000Z
50826,0,0,Closed,2021-05-18T00:00:00.000Z,2021-05-18T00:00:00.000Z,2015-04-28T00:00:00.000Z
50827,1,1,Closed,2023-08-03T00:00:00.000Z,2023-08-01T00:00:00.000Z,2016-05-09T00:00:00.000Z
50831,0,0,Closed,2012-03-30T00:00:00.000Z,2020-06-04T00:00:00.000Z,2012-04-03T00:00:00.000Z
50832,8,8,Closed,2012-10-16T00:00:00.000Z,2020-03-09T00:00:00.000Z,2013-08-06T00:00:00.000Z
50833,0,0,Closed,2005-07-18T00:00:00.000Z,2010-05-27T00:00:00.000Z,2005-08-09T00:00:00.000Z
50835,0,0,Closed,2005-07-19T00:00:00.000Z,2008-06-20T00:00:00.000Z,2005-07-19T00:00:00.000Z
50836,0,0,Closed,2005-08-25T00:00:00.000Z,2007-05-17T00:00:00.000Z,2005-08-25T00:00:00.000Z
50837,0,0,Closed,2013-11-07T00:00:00.000Z,2013-11-07T00:00:00.000Z,2007-07-17T00:00:00.000Z
50838,0,0,Closed,2013-11-20T00:00:00.000Z,2013-11-20T00:00:00.000Z,2009-05-18T00:00:00.000Z
50839,0,0,Closed,2014-03-12T00:00:00.000Z,2012-05-17T00:00:00.000Z,2008-02-04T00:00:00.000Z
50841,1,1,Closed,2012-10-29T00:00:00.000Z,2012-10-31T00:00:00.000Z,2009-11-05T00:00:00.000Z
50857,0,0,Closed,2019-08-14T00:00:00.000Z,2022-04-01T00:00:00.000Z,2019-09-06T00:00:00.000Z
50858,9,9,Closed,2009-09-21T00:00:00.000Z,2014-04-09T00:00:00.000Z,2009-09-24T00:00:00.000Z
50860,28,28,Closed,2010-08-12T00:00:00.000Z,2017-02-07T00:00:00.000Z,2010-09-22T00:00:00.000Z
50862,0,0,Closed,2010-07-29T00:00:00.000Z,2016-04-15T00:00:00.000Z,2010-08-03T00:00:00.000Z
50864,0,0,Closed,2014-12-17T00:00:00.000Z,2018-09-17T00:00:00.000Z,2015-01-05T00:00:00.000Z
50869,0,0,Closed,2007-07-11T00:00:00.000Z,2010-11-10T00:00:00.000Z,2007-08-10T00:00:00.000Z
50872,1,1,Closed,2007-09-24T00:00:00.000Z,2009-07-31T00:00:00.000Z,2007-09-28T00:00:00.000Z
50876,1,1,Closed,2014-08-26T00:00:00.000Z,2019-03-27T00:00:00.000Z,2014-09-04T00:00:00.000Z
50878,17,17,Closed,2023-05-03T00:00:00.000Z,2023-05-04T00:00:00.000Z,2012-08-21T00:00:00.000Z
50880,0,0,Closed,2015-05-07T00:00:00.000Z,2018-03-30T00:00:00.000Z,2015-05-07T00:00:00.000Z
50882,0,0,Closed,2013-06-24T00:00:00.000Z,2015-01-07T00:00:00.000Z,2013-06-24T00:00:00.000Z
50883,0,0,Closed,2014-09-17T00:00:00.000Z,2014-09-23T00:00:00.000Z,2012-08-07T00:00:00.000Z
50889,1,1,Closed,2012-07-02T00:00:00.000Z,2013-12-06T00:00:00.000Z,2011-07-13T00:00:00.000Z
50890,1,1,Closed,2018-02-02T00:00:00.000Z,2018-02-06T00:00:00.000Z,2012-03-16T00:00:00.000Z
50891,0,0,Closed,2015-09-21T00:00:00.000Z,2015-09-21T00:00:00.000Z,2012-06-04T00:00:00.000Z
50892,0,0,Closed,2015-03-09T00:00:00.000Z,2015-03-09T00:00:00.000Z,2012-09-25T00:00:00.000Z
50893,0,0,Closed,2018-08-27T00:00:00.000Z,2018-08-29T00:00:00.000Z,2012-09-10T00:00:00.000Z
50894,1,2,Closed,2017-07-21T00:00:00.000Z,2017-07-14T00:00:00.000Z,2012-12-21T00:00:00.000Z
50895,0,0,Closed,2015-11-13T00:00:00.000Z,2015-11-13T00:00:00.000Z,2013-01-30T00:00:00.000Z
50897,13,13,Closed,2018-06-08T00:00:00.000Z,2021-08-03T00:00:00.000Z,2018-06-11T00:00:00.000Z
50898,1,1,Closed,2014-10-23T00:00:00.000Z,2010-12-30T00:00:00.000Z,2006-04-06T00:00:00.000Z
50899,1,1,Closed,2009-10-01T00:00:00.000Z,2009-09-10T00:00:00.000Z,2007-05-30T00:00:00.000Z
50900,4,4,Closed,2017-05-10T00:00:00.000Z,2017-05-11T00:00:00.000Z,2007-10-02T00:00:00.000Z
50902,2,2,Closed,2012-07-02T00:00:00.000Z,2013-12-06T00:00:00.000Z,2011-05-04T00:00:00.000Z
50903,1,1,Closed,2012-12-27T00:00:00.000Z,2008-11-13T00:00:00.000Z,2007-12-20T00:00:00.000Z
50905,0,0,Closed,2004-07-14T00:00:00.000Z,2008-09-15T00:00:00.000Z,2004-07-19T00:00:00.000Z
50907,0,0,Closed,2004-05-13T00:00:00.000Z,2019-12-10T00:00:00.000Z,2004-05-14T00:00:00.000Z
50909,1,1,Closed,2007-05-31T00:00:00.000Z,2009-09-17T00:00:00.000Z,2007-07-12T00:00:00.000Z
50910,1,1,Closed,2013-06-05T00:00:00.000Z,2015-07-27T00:00:00.000Z,2013-07-17T00:00:00.000Z
50913,4,4,Closed,2015-06-22T00:00:00.000Z,2018-10-25T00:00:00.000Z,2015-06-25T00:00:00.000Z
50914,305,307,Closed,2010-03-10T00:00:00.000Z,2010-03-10T00:00:00.000Z,2003-02-12T00:00:00.000Z
50915,0,0,Closed,2004-11-04T00:00:00.000Z,2004-11-04T00:00:00.000Z,2003-01-13T00:00:00.000Z
50916,1,1,Closed,2013-10-29T00:00:00.000Z,2013-10-29T00:00:00.000Z,2005-12-30T00:00:00.000Z
50917,1,1,Closed,2009-05-14T00:00:00.000Z,2009-02-26T00:00:00.000Z,2006-01-19T00:00:00.000Z
50918,1,1,Closed,2009-05-29T00:00:00.000Z,2009-01-29T00:00:00.000Z,2005-10-04T00:00:00.000Z
50920,0,0,Closed,2005-09-28T00:00:00.000Z,2003-11-14T00:00:00.000Z,2004-04-22T00:00:00.000Z
50921,0,0,Closed,2006-07-17T00:00:00.000Z,2008-12-30T00:00:00.000Z,2006-07-17T00:00:00.000Z
50922,0,0,Closed,2010-01-15T00:00:00.000Z,2010-01-14T00:00:00.000Z,2006-04-24T00:00:00.000Z
50923,1,1,Closed,2009-07-14T00:00:00.000Z,2009-07-16T00:00:00.000Z,2005-12-13T00:00:00.000Z
50924,0,0,Closed,2018-06-19T00:00:00.000Z,2023-09-29T00:00:00.000Z,2018-06-28T00:00:00.000Z
50925,0,0,Closed,2006-03-07T00:00:00.000Z,2006-03-08T00:00:00.000Z,2006-03-08T00:00:00.000Z
50927,0,0,Closed,2016-03-01T00:00:00.000Z,2024-08-27T00:00:00.000Z,2016-03-01T00:00:00.000Z
50928,0,0,Closed,2010-09-13T00:00:00.000Z,2013-06-12T00:00:00.000Z,2010-09-27T00:00:00.000Z
50930,6,6,Closed,2011-08-22T00:00:00.000Z,2014-05-27T00:00:00.000Z,2011-08-24T00:00:00.000Z
50931,0,0,Closed,2005-09-13T00:00:00.000Z,2010-04-22T00:00:00.000Z,2005-09-19T00:00:00.000Z
50932,0,0,Closed,2007-07-11T00:00:00.000Z,2010-03-12T00:00:00.000Z,2007-08-10T00:00:00.000Z
50933,0,0,Closed,2016-02-11T00:00:00.000Z,2021-07-30T00:00:00.000Z,2016-02-24T00:00:00.000Z
50946,0,0,Closed,2020-06-25T00:00:00.000Z,2020-06-25T00:00:00.000Z,2016-02-12T00:00:00.000Z
50948,0,0,Closed,2015-08-03T00:00:00.000Z,2020-06-15T00:00:00.000Z,2015-04-22T00:00:00.000Z
50949,0,0,Closed,2020-07-09T00:00:00.000Z,2020-09-04T00:00:00.000Z,2015-11-23T00:00:00.000Z
50951,0,0,Closed,2018-02-20T00:00:00.000Z,2019-02-27T00:00:00.000Z,2015-12-04T00:00:00.000Z
50952,0,0,Closed,2017-12-15T00:00:00.000Z,2017-12-15T00:00:00.000Z,2015-04-21T00:00:00.000Z
50953,0,0,Closed,2015-12-18T00:00:00.000Z,2022-05-24T00:00:00.000Z,2015-12-18T00:00:00.000Z
50954,0,0,Closed,2018-07-25T00:00:00.000Z,2018-08-07T00:00:00.000Z,2015-09-18T00:00:00.000Z
50955,0,0,Closed,2018-09-18T00:00:00.000Z,2018-09-18T00:00:00.000Z,2017-02-16T00:00:00.000Z
50961,1,1,Closed,2010-11-30T00:00:00.000Z,2014-09-18T00:00:00.000Z,2011-02-07T00:00:00.000Z
50963,0,0,Closed,2014-04-24T00:00:00.000Z,2016-06-09T00:00:00.000Z,2014-05-01T00:00:00.000Z
50965,0,0,Closed,2014-01-27T00:00:00.000Z,2018-08-16T00:00:00.000Z,2014-05-05T00:00:00.000Z
50967,1,1,Closed,2007-08-15T00:00:00.000Z,2007-08-22T00:00:00.000Z,2007-08-22T00:00:00.000Z
50969,0,0,Closed,2007-06-27T00:00:00.000Z,2010-11-09T00:00:00.000Z,2007-08-10T00:00:00.000Z
50970,0,0,Closed,2008-09-17T00:00:00.000Z,2011-03-31T00:00:00.000Z,2008-09-24T00:00:00.000Z
50971,0,0,Closed,2010-09-13T00:00:00.000Z,2013-03-27T00:00:00.000Z,2010-09-24T00:00:00.000Z
50979,0,0,Closed,2024-07-24T00:00:00.000Z,2024-09-11T00:00:00.000Z,2022-06-01T00:00:00.000Z
50981,0,0,Closed,2024-03-03T00:00:00.000Z,2024-03-03T00:00:00.000Z,2022-04-14T00:00:00.000Z
50994,1,1,Closed,2009-05-26T00:00:00.000Z,2009-03-06T00:00:00.000Z,2005-10-20T00:00:00.000Z
50996,0,0,Closed,2006-08-08T00:00:00.000Z,2006-08-08T00:00:00.000Z,2004-10-27T00:00:00.000Z
50997,0,0,Closed,2013-09-06T00:00:00.000Z,2008-08-25T00:00:00.000Z,2007-04-20T00:00:00.000Z
50998,61,61,Closed,2016-01-04T00:00:00.000Z,2016-01-04T00:00:00.000Z,2011-04-07T00:00:00.000Z
50999,0,0,Closed,2016-06-20T00:00:00.000Z,2013-11-07T00:00:00.000Z,2011-04-22T00:00:00.000Z
51000,133,133,Closed,2018-03-13T00:00:00.000Z,2018-03-13T00:00:00.000Z,2012-06-18T00:00:00.000Z
51001,0,0,Closed,2011-10-13T00:00:00.000Z,2016-10-13T00:00:00.000Z,2011-10-13T00:00:00.000Z
51002,4,8,Closed,2014-10-30T00:00:00.000Z,2014-10-30T00:00:00.000Z,2011-11-14T00:00:00.000Z
51003,1,1,Closed,2014-03-24T00:00:00.000Z,2014-03-24T00:00:00.000Z,2011-07-28T00:00:00.000Z
51004,0,0,Closed,2011-10-07T00:00:00.000Z,2014-12-08T00:00:00.000Z,2011-10-07T00:00:00.000Z
51005,0,0,Closed,2011-11-10T00:00:00.000Z,2015-02-27T00:00:00.000Z,2011-11-10T00:00:00.000Z
51006,20,25,Closed,2018-08-14T00:00:00.000Z,2018-08-16T00:00:00.000Z,2012-02-24T00:00:00.000Z
51007,0,0,Closed,2013-02-28T00:00:00.000Z,2013-04-03T00:00:00.000Z,2012-03-27T00:00:00.000Z
51008,0,0,Closed,2023-08-17T00:00:00.000Z,2023-08-17T00:00:00.000Z,2013-04-11T00:00:00.000Z
51009,24,24,Closed,2023-04-01T00:00:00.000Z,2023-04-13T00:00:00.000Z,2012-08-06T00:00:00.000Z
51011,17,46,Closed,2018-07-25T00:00:00.000Z,2018-07-25T00:00:00.000Z,2012-03-15T00:00:00.000Z
51013,1,1,Closed,2015-09-23T00:00:00.000Z,2015-09-23T00:00:00.000Z,2011-09-30T00:00:00.000Z
51014,24,31,Closed,2020-02-24T00:00:00.000Z,2020-02-28T00:00:00.000Z,2012-04-24T00:00:00.000Z
51015,0,0,Closed,2015-03-20T00:00:00.000Z,2015-03-26T00:00:00.000Z,2012-03-16T00:00:00.000Z
51016,12,12,Closed,2020-06-22T00:00:00.000Z,2020-08-06T00:00:00.000Z,2012-07-19T00:00:00.000Z
51017,0,0,Closed,2012-10-29T00:00:00.000Z,2016-01-22T00:00:00.000Z,2012-10-29T00:00:00.000Z
51018,0,0,Closed,2012-09-17T00:00:00.000Z,2015-02-25T00:00:00.000Z,2012-09-17T00:00:00.000Z
51020,0,0,Closed,2019-04-11T00:00:00.000Z,2019-04-24T00:00:00.000Z,2012-09-07T00:00:00.000Z
51021,2,2,Closed,2017-12-20T00:00:00.000Z,2017-12-20T00:00:00.000Z,2012-12-21T00:00:00.000Z
51025,0,0,Closed,2015-07-24T00:00:00.000Z,2015-09-10T00:00:00.000Z,2015-07-24T00:00:00.000Z
51026,0,0,Closed,2009-10-01T00:00:00.000Z,2011-12-21T00:00:00.000Z,2008-01-11T00:00:00.000Z
51027,0,0,Closed,2011-01-11T00:00:00.000Z,2015-03-17T00:00:00.000Z,2008-07-16T00:00:00.000Z
