,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
37901,3031622,3009208,3031622,1,10.14,31058670
37903,36055,44990,27041,0.75,1.91,4609020
37904,11709,10437,8782,0.75,6.48,898728
37905,9211,8496,6908,0.75,3.75,387488
37906,2626,3999,1970,0.75,0,0
37907,50000,40000,37500,0.75,0,0
37908,36652,31456,27489,0.75,1.49,64552
37909,0,32498,0,0.75,0,0
37911,71733,56232,53800,0.75,1.86,133207
37912,227796,237630,170847,0.75,0,0
37913,43356757,32356980,28863160,0.67,0,0
37914,151420,270143,114813,0.76,1.01,94863
37916,5398510,117503,4048882.5,0.75,15.86,4927468
37917,583446.04,783197,437584.53,0.75,2.91,3036000
37918,0,50474,0,0.75,55.88,46795200
37919,133600,100200,133600,1,1.03,707344
37920,260468,204911,194865.97,0.75,1.01,276000
37921,0,904856,0,0.75,4.42,5412691
37922,557313,417985,0,0.75,0,0
37923,558043,757500,383533.74,0.69,2.24,8075
37924,53983,58457,31634,0.59,0,0
37925,139731,100000,100000,0.72,10.3,2337581
37926,2500,39000,2500,1,0,0
37927,166849,100000,100000,0.6,3,2420087
37928,975,206939,975,1,0,0
37947,1813103.09,1682883,1631792.74,0.9,4.42,8352229
37949,21319,27614,15369,0.72,1.37,21420
37950,34000,25500,25500,0.75,0,0
37951,419620,384258,377658,0.9,0,0
37960,6825000,3000000.41,0.41,0.44,1.26,8753288
37961,2808533,126815.04,1808810,0.64,1.96,5511779
37962,234940.99,115748,115748,0.49,0,0
37963,31132.07,73350.75,23349.05,0.75,5.64,552000
37975,266666,199999.5,199999.5,0.75,1,1
37976,70000,52500,52500,0.75,0,0
37977,52400,52400,52400,1,0,0
37978,247727,100000,100000,0.4,5.8,1443585
37979,28240,21180,21180,0.75,0,0
37980,251155,125229,125229,0.5,1.21,303493
37981,2797216,687840,2097912,0.75,0,0
37982,23860,8997,23859.58,1,0,0
37984,1121000,840750,840750,0.75,1.63,1821666
37986,880000,562500,562500,0.64,0.4,357646
37992,0.02,118875,0,0,5.3,860081
37993,974639,877175.1,877175.1,0.9,3.32,3282596
37995,1364681,960919.11,1027000,0.75,2.4,3457220
38005,1304500,500000,500000,0.38,3.83,5000000
38007,3567435.08,163196,3567435.08,1,1.55,4458867
38008,832904,620250,620250,0.74,2.84,2349917
38009,800766,180251,800766,1,1.05,853825
38010,1331391,911625,998543,0.75,1.73,2334534
38011,65000,48750,48750,0.75,0,0
38013,172333.03,155099.73,155099.73,0.9,0,0
38015,315000,298500,283500,0.9,0,0
38023,229300,171975,141360.55,0.75,1.26,289473
38025,194220,194220,0,1,1.42,276000
38030,3000000,3150000,3000000,1,0,0
38031,51150.75,40920.6,38363.06,0.75,1.75,110061
38032,191000,180900,171900,0.9,5.06,1070644
38034,130071,97553.25,97553.25,0.75,0,0
38036,111981.2,106382.14,100783.08,0.9,0,0
38040,970405.62,650313.48,776324.5,0.8,7.62,9108039
38042,280950,266902.5,252855,0.9,5.76,1737600
38043,610000,335000,310000,0.51,3.98,2427717
38047,70200,66780,63180,0.9,0,0
38051,380500,303005,285375,0.75,0,0
38055,217120,162840,162840,0.75,15.14,3517865
38056,59513,42000,41303,0.69,0,0
38057,76113,74672,57085,0.75,2.51,250546
38059,315273,272644,236455,0.75,0,0
38060,77500,58125,58125,0.75,0,0
38062,877790.1,707017,877790.1,1,0,0
38063,204553,156416,153414.68,0.75,2.87,702412
38064,130792,109200,98093,0.75,1.58,230155
38065,27850,24900,20888,0.75,0,0
38066,213214,441750,159910.46,0.75,5.45,3208177
38067,318211,225375,238658,0.75,3.9,1195539
38068,0,184950,0,0.75,24.58,6092941
38069,1255000,105126,941250,0.75,2.63,3361941
38071,383123,267815,287342,0.75,0,0
38072,242931,159555,159555,0.66,5.58,1356643
38073,98248,73686,73686,0.75,0,0
38074,27836,20877,20877,0.75,0,0
38075,39200,29400,29400,0.75,0,0
38076,343093,291701,257320,0.75,2.27,985243
38077,19731,20153,19731,1,2.54,74148
38078,0,92925,0,0.75,0,0
38079,32596,28875,5732,0.75,0,0
38080,229900,183920,172425,0.75,1.41,323000
38081,57107.68,59454.67,57107.68,1,11.81,827137
38083,30201,24160.8,22650.75,0.75,0,0
38092,20069278,5130680,20069278,1,0,0
38093,134831,112945,101123,0.75,1.37,202905
38096,0,90018,0,0.75,0,0
38097,40071,19924,30053,0.75,1.15,46052
38109,168925,100000,100000,0.59,3.69,999994
38110,2649910,1987433,1987433,0.75,14.12,38137334
38112,14495,10871,10871,0.75,0,0
38117,153153,137837.7,137837.7,0.9,0,0
38119,667800,601020,601020,0.9,1.23,1228184
38122,2641297,1960192,2641297,1,0,0
38124,62561,207915,46921,0.75,0,0
38125,20000,15000,0,0.75,0,0
38126,68696,51522,51522,0.75,9.85,1536004
38127,54142,244960,40606,0.75,0,0
38128,59459,78173,44594,0.75,0,0
38129,64345,48397,48255,0.75,0,0
38130,112747,101720,74282,0.66,9.44,2143678
38131,246965,175924,183733,0.74,3.13,813242
38132,161920,121440,121440,0.75,0,0
38134,68696,51522,51518,0.75,7.84,611272
38135,473076,410233,354807,0.75,0,0
38136,50000,37027,37500,0.75,0,0
38137,1000000,975855,1000000,1,0,0
38138,0,46376,0,0,0,0
38139,0,136902,0,0.74,0,0
38140,0,154770,0,1,0,0
38142,47217,56199,35412,0.75,0,0
38144,47975,39780,35981,0.75,0,0
38145,200000,156550,0,0.75,0,0
38146,36355,43327,34537,0.95,0,0
38147,218338,153603,163753,0.75,3.65,715915
38148,9900,5269,7425,0.75,1.17,6812
38149,56490,45019,42368,0.75,0,0
38150,132018,21797,99014,0.75,1.03,163597
38151,199117,158406,149338,0.75,1.04,210854
38156,67839,17127,67839,1,0,0
38157,381428,286071,286071,0.75,1.08,413403
38159,416495,393218,312371,0.75,0,0
38160,24200,18000,18150,0.75,0,0
38162,247007,239383,185255,0.75,3.97,1564448
38164,13289,10000,9967,0.75,0,0
38165,38111,28584,28583,0.75,0,0
38166,3025621,2597100,2269035,0.75,0,0
38167,303289,222312,222312,0.73,0,0
38169,4293805.04,2186556.54,2186556.54,0.51,1.86,5610816
38171,2908876.14,1383069,1383069,0.48,2.99,9931939
38175,2223500,295050,1667625,0.75,1.24,2770596
38176,110242.7,75000,82682.03,0.75,0,0
38177,2777917,172989.6,2083437.75,0.75,1.21,3370308
38178,229659,187808.25,172244.25,0.75,2.3,662440
38179,79705,69598.4,59778.75,0.75,1.13,119180
38180,218322,164947.5,196489.8,0.9,51.69,10402221
38181,1526812,968466,1145109,0.75,1.27,1951764
38182,26178.01,22500,19631.94,0.75,0,0
38183,33520,25140,25140,0.75,0,0
38184,759157,107482.86,100772.25,0.75,7.47,5765600
38185,0,22500,0,0.75,0,0
38186,393721,381909.37,381909.37,1,0,0
38189,216198,161429,0,0.75,0,0
38190,1295060,971295,782438.62,0.75,1.27,1647060
38191,143440,107580,107580,0.75,0,0
38192,71942.48,70432,53956.86,0.75,0,0
38193,0,83625,0,0.75,0,0
38194,96581.15,817500,72435.87,0.75,1.08,1211488
38204,411000,411000,338874.94,1,2.64,1085583
38215,460553,225000,345414.75,0.75,0,0
38216,345000,42000,42000,1,1.53,552051
38217,150000,142500,135000,0.9,0,0
38218,205688,154266,185119.2,0.9,3.13,643112
38219,449400,51030,48600,0.9,4.16,1877002
38222,78422,78213,58811.44,0.75,0,0
38228,778942.5,739995.25,701048.25,0.9,0,0
38231,133855,117750,100391,0.75,0,0
38234,88715,98201,66536,0.75,0,0
38235,120000,97639,112800,0.94,0,0
38236,109213,82125,81909,0.75,0,0
38237,7925833,8647191,5944374,0.75,0,0
38239,394740,766754,394740,1,0,0
38240,13000,10444,9750,0.75,0,0
38242,114296,133508,85722,0.75,0.99,169766
38243,3501727,4175211,2626296,0.75,0,0
38244,1513843,1412921,1135382,0.75,0,0
38245,22569,18352,16927,0.75,0,0
38247,0,53571,0,0.75,1.22,609269
38248,446043,286764,196256,0.61,1.62,566895
38250,30000,23517,0,0.75,1.14,34150
38251,0,287650,0,0.75,1.52,555017
38252,25000,18750,18750,0.75,0,0
38253,0,49369,0,1,2.93,141012
38254,36980,30375,27734.96,0.75,0,0
38256,9600,10200,7200,0.75,0,0
38257,57144,61616,42720,0.75,1.37,21420
38260,105000,99750,94500,0.9,0,0
38261,350000,315000,315000,0.9,0,0
38262,218539.85,13243,12546,0.9,1.36,305336
38264,2569560,233665.98,219697.38,0.86,1.24,3180229
38266,342396,325276.2,308156.4,0.9,0,0
38267,5900,4694,4425,0.75,0,0
38268,5922,4076,3900,0.66,0,0
38269,4547,11211,3410,0.75,0,0
38270,691900,539101,518925,0.75,4.52,3129560
38271,1034435,927938,775826,0.75,0,0
38273,39018,30588,29264,0.75,1.22,47493
38274,5137,3853,3853,0.75,0,0
38275,309152,232127,231864,0.75,4.64,1385810
38277,910203,426684,682652,0.75,2.3,1251811
38278,217636,269980,163227,0.75,5.34,1162140
38279,11208,6772,8406,0.75,2.22,24853
38280,195096,7739,146322,0.75,3.45,672916
38281,0,203212,0,0.75,3.57,928200
38282,1247692.57,1347029,935769.43,0.75,1.07,1927561
38283,46304,35275,34728,0.75,0,0
38284,300156,237941,225117,0.75,1.32,419606
38285,599300,449475,449475,0.75,5.91,4306914
38286,134204,111146,100653,0.75,0,0
38287,0,13050,0,0.75,0,0
38288,68257,51192,51192,0.75,0,0
38296,107711,114076,80783,0.75,1.01,150432
38297,826029,419202,619522,0.75,1.83,1538851
38299,106826,94628,80120,0.75,1.18,129452
38300,1542,1157,1157,0.75,0,0
38301,365723,328205,274292,0.75,1,422821
38302,12267,7878,7500,0.61,0,0
38303,102350,98222,76763,0.75,0,0
38311,7908,6930,5931,0.75,0,0
38312,11551753,11447584,9068126,0.79,1.63,24946575
38313,22033.6,17438,16525.2,0.75,0,0
38314,64000,48762,48000,0.75,0,0
38316,145500,109125,98986,0.75,0,0
38317,25000,18750,18750,0.75,1.28,38510
38318,59100,44325,44325,0.75,0,0
38319,21171,9377,21171,1,0,0
38320,5965,4607,5965,1,0,0
38321,0,100000,0,0.33,2.03,806440
38322,58674,44999,42539,0.73,0,0
38324,197441.5,97442,100000,0.51,0,0
38329,299844,153606,0,0.5,0,0
38330,182525,145376,136894,0.75,1,136894
38331,111854,130297,83890,0.75,2.99,334248
38332,136067,82690,102050,0.75,2.63,377924
38333,0,131870,0,0.75,0,0
38334,50183,243220,36918,0.74,4.2,23395352
38350,25526,19500,19145,0.75,0,0
38352,466170,353487,349628,0.75,3.43,16409460
38353,576280,329389,318263,0.55,4.45,1888358
38354,14000,11138,10500,0.75,0,0
38355,4536,1548,1500,0.33,0,0
38356,97888,286711,73416,0.75,2.88,1061660
38357,0,11292,0,0.75,3.94,55841
38358,255922,217756,191941,0.75,1.08,301519
38359,13884,6431,10413,0.75,10.48,145566
38361,13856109,2999109,2999109,0.22,6.42,88937888
38363,887183,654826,654826,0.74,1.32,209100
38364,1541137.04,1155852.78,104130.76,0.75,2.04,3247702
38365,3264800,2448600,2448600,0.75,1,3264800
38366,12363,55707,12363,1,0,0
38367,64587.87,58129.08,58129.08,0.9,2.13,210205
38369,1670324,427328,1252743,0.75,0,0
38370,144682,23593,60000,0.41,1.24,102010
38371,716914,143207,0,0.18,0,0
38372,21079,31661,15522,0.74,1.37,21420
38373,1743047,143284,1307285,0.75,2.99,5250609
38375,392904,22500,290482,0.74,1.58,633234
38376,880369,733232,660276,0.75,0,0
38378,150964.56,112995,112995,0.75,11.25,1023242
38379,87797,463960,65848,0.75,0,0
38380,33904,25443,25428,0.75,0,0
38381,1062648.77,1456372,796986.58,0.75,0,0
38382,499005,374253.75,374253.75,0.75,1.23,823275
38383,544830,952148,408623,0.75,0,0
38385,2486267,6873,1864700,0.75,2.32,5766287
38386,0,3800,0,0.75,6.43,30680
38387,134319,244661,96141,0.72,0,0
38388,279355,233505,209516,0.75,1.73,484247
38390,0,17576,0,0.75,39.93,906251
38392,26763,35276,20072,0.75,0,0
38396,8500000,6358000,6358000,0.75,2.56,21691640
38397,374500,280875,280875,0.75,1.55,579650
38399,2817180.19,1383069,1383069,0.49,2.86,9189893
38401,122441,74984,91831,0.75,0,0
38402,525864,407945,394398,0.75,2.68,1409315
38403,1030294,966522,815635,0.75,1.89,2368888
38404,803142,602919,602357,0.75,1.83,1472004
38405,463369,452853,347527,0.75,0,0
38408,26390,19793,19792.5,0.75,0,0
38410,106438,27310,106438,1,0,0
38411,0,30996,0,0.75,0,0
38412,518225,466402.5,466402.5,0.9,1.92,965538
38416,462245,346683.75,346683.75,0.75,0,0
38417,166181,193951,124636,0.75,0,0
38418,928895,543951,696671,0.75,0,0
38420,5680,23216,4260,0.75,9.66,43502
38421,44775,13433,33581,0.75,0,0
38424,15113.36,4544,15113.36,1,0,0
38425,1773152,1383750,1329864.24,0.75,3.77,7000204
38426,160000,120000,120000,0.75,0,0
38427,17000,12750,12750,0.75,0,0
38429,116561,74999.89,74999.89,0.64,1.77,224571
38430,6770230.58,3000000.41,2975925.94,0.44,1.26,8753288
38431,575792,245615,431844,0.75,11.52,8415655
38432,277022,197031.51,197031.51,0.71,0,0
38433,291743,150000,218807.24,0.75,2.85,932337
38434,789341,592005.75,592005.75,0.75,2.98,2570772
38435,0,150000,0,0.75,2.37,5844133
38445,13384,73328,10038,0.75,1.31,121038
38446,250000,195165,187500,0.75,0,0
38447,234375,183283,142706,0.75,1.1,258491
38448,50000,39390,37500,0.75,0,0
38449,279933,217533,209950,0.75,0,0
38450,1378206,785064,1033655,0.75,1.1,1563522
38452,0,83444,0,0.75,4.66,500000
38453,47500,38162,35625,0.75,2.12,106173
38454,194010,435053,86933,0.45,0,0
38456,103002.12,47676,103002.12,1,0,0
38458,133334,100000,100000,0.75,0,0
38459,156659,117494,117494,0.75,2.7,520221
38460,488100,366075,366075,0.75,0,0
38461,65572.17,34361,65572.17,1,0,0
38463,120000,90225,90000,0.75,0,0
38465,0,15102,0,0.75,2.59,171520
38466,597246.58,62118,597246.58,1,0,0
38469,938420,892754,703815,0.75,2.08,2598816
38470,36168,55703,27126,0.75,0,0
38471,18828,14337,14121,0.75,0,0
38472,61920,70125,46440,0.75,0,0
38473,332476,249357,249357,0.75,1.22,421254
38474,18000,13500,13500,0.75,0,0
38475,28000,30000,21000,0.75,0,0
38476,95044,129471,71283,0.75,0,0
38477,247779,110453,173883,0.7,7.34,1081248
38478,1363495,3801253,1022621,0.75,0,0
38480,3712000,2784000,2784000,0.75,1,1250026
38481,57026,67100,54175,0.95,0,0
38483,18694,18000,14020,0.75,0,0
38484,29598,21373,19527,0.66,1.37,21420
38485,23000,17250,17250,0.75,0,0
38486,544136,544136,544136,1,0,0
38487,145149,94847,94847,0.65,3.98,503114
38489,0,12935,0,0.75,1.58,26059
38490,0,33275,0,0.75,5.72,245829
38491,33552,27280,25164,0.75,0,0
38492,1122883,35451,842162,0.75,1,1290338
38493,260000,203212,195000,0.75,0,0
38494,0,6946,0,0.75,38.54,345818
38495,803059,412539,602294,0.75,2.35,1890051
38496,44340,31824,33255,0.75,1.21,50725
38497,4363,3437,3272,0.75,0,0
38498,34373,26945,25780,0.75,5.37,184732
38499,208990,150379,156743,0.75,1.65,362649
38500,77788,60197,58341,0.75,1.06,82686
38501,12000,9547,9000,0.75,0,0
38504,246800,234460,222120,0.9,0,0
38506,419180,398221,377262,0.9,2.35,924539
38510,80305,46953,46953,0.58,0,0
38512,34245,25683,25683,0.75,0,0
38513,2611285.57,4331769,2611285.57,1,0,0
38514,276115,1050756,207086,0.75,1.72,483582
38515,292013,292013,292013,1,2.53,750332
38516,227136.37,18750,170352.3,0.75,5.13,4497056
38517,657061.29,1008005,657061.29,1,0,0
38518,620094,679073,620094,1,0,0
38519,374000,293798,0,0.75,1.03,385225
38520,91584,73562,68688,0.75,0,0
38521,526856,414813,395142,0.75,1.35,53138
38543,363068.1,217875,215014.01,0.59,918.32,192846780
38544,457416,425849,419174,0.92,1.54,807625
38545,0,139702,0,0.75,1.25,175000
38547,247487.16,101186,168180.73,1,0,0
38548,0,7731,0,0.75,4.52,8149023
38558,596773.09,447573.09,447573.09,0.75,0,0
38562,48000,67284,48000,1,0,0
38563,387761,561543,387761,1,0,0
38564,185057,99748,87900,0.47,0,0
38567,1874459,110108,1405844,0.75,1.97,3715637
38568,1981445,1338660,1486083,0.75,2.11,4214653
38585,11490.11,92700,8158,0.71,1.39,171305
38587,117231,1004478,87923,0.75,0,0
38588,179855,154905,134891,0.75,0,0
38589,122094,94113,91571,0.75,0,0
38590,12791,14307,9593,0.75,3.44,44027
38591,1900925,926908,1425694,0.75,1.98,2370466
38592,76889,96000,57667,0.75,0,0
38593,58453,52136,43841,0.75,0,0
38598,3402485,2417127,2417127,0.71,1.45,4974143
38600,471974,424776.6,424776.6,0.9,2.01,948366
38601,369927,227996,227996,0.62,1.99,734917
38605,33574,23584,25181,0.75,0,0
38606,68935,133410,68935,1,2.93,391903
38607,7744545,1515038,7744545,1,0,0
38615,225377.25,202839.52,202839.52,0.9,3.67,826319
38616,24628,18471,18471,0.75,0,0
38617,6327,5351,4745,0.75,16.78,106144
38618,0,40386,0,0.75,1.35,69663
38619,143330,7738,107498,0.75,2.38,341119
38620,11685,26312,8764,0.75,0,0
38621,139446,111034,104585,0.75,0,0
38622,402712,246746,316427,0.79,0,0
38623,12000,9547,9000,0.75,0,0
38624,323463,835294,242597,0.75,0,0
38625,7500,5625,5625,0.75,0,0
38626,320866,275220,240650,0.75,3.33,1166786
38627,0,-5149,0,0,0,0
38629,116000,87000,87000,0.75,0,0
38650,533333.33,400000,400000,0.75,2.17,1155644
38652,895266,695797.85,671449.5,0.75,2.53,2261000
38653,1186800,890100,890100,0.75,6.31,7518574
38654,134032.76,21132,100524.57,0.75,33.59,13021600
38655,82826.59,72174,62119.94,0.75,0,0
38657,104796.92,93750,78597.69,0.75,0,0
38659,34201,32490.95,30780.9,0.9,0,0
38660,23285,25249,17464,0.75,2.67,6420709
38661,1431013,53951,996105,0.7,1.05,2321148
38662,422223,65066,363084,0.86,0,0
38663,10259,18316,9746,0.95,1.86,399416
38664,203333,197370,152500,0.75,0,0
38665,28343,28927,21257,0.75,0,0
38667,40171,31108,30128,0.75,1.49,64552
38668,61326,36718,45994,0.75,5.94,277470
38669,40000,30000,30000,0.75,0,0
38671,14202,15146.25,10651.5,0.75,2.02,45053
38672,162500,129375,121875,0.75,0,0
38673,290482,228175,276009,0.95,1.07,353256
38674,6700,4112,5025,0.75,18.09,83763
38675,0,22142921,0,0.75,2.63,231578946
38676,480130,34656,32832,0.9,1.29,701074
38677,200000,160000,150000,0.75,0,0
38678,414298.9,407087.61,407087.61,1,0,0
38684,380000,304000,285000,0.75,0,0
38685,427090,366842,320318,0.75,0,0
38686,3387,6266,2540,0.75,1.43,11266
38687,30389,189694,22792,0.75,0,0
38688,400465,354450,300349,0.75,0,0
38689,4798077,3974171,3598558,0.75,0,0
38693,46000,43700,41400,0.9,0,0
38694,104000,83200,78000,0.75,0,0
38697,2914,2185.5,2185.5,0.75,0,0
38699,13550,11344,10164,0.75,0,0
38700,33581,13433,25186,0.75,0,0
38701,31941,27573,23956,0.75,0,0
38702,120791,96413,90593,0.75,1.12,139210
38703,113333,78390,85000,0.75,0,0
38704,19166,15100,14375,0.75,0,0
38706,26667,21216,20000,0.75,0,0
38707,753724,712372,565293,0.75,1.04,946980
38708,37700,29553,28275,0.75,0,0
38716,27650,22213,20738,0.75,0,0
38717,168382.5,166800,126286.87,0.75,0,0
38718,21131,15015,15847.94,0.75,0,0
38719,25704105.17,2907000,18004105.17,0.7,1.06,32580466
38720,432135,852145,324101,0.75,10.01,66485324
38721,23156,16256,17367,0.75,0,0
38722,61447.64,38955,41002.76,0.67,0,0
38723,9890,7418,7418,0.75,0,0
38724,0,84375,0,0.75,0,0
38726,4947,21778,4947,1,0,0
38727,511345.92,169341,383509.43,0.75,1.13,977609
38728,177330,130607,130607,0.74,0,0
38729,82386,106669,61790,0.75,11.22,1702614
38730,0,100000,0,0.56,0,0
38731,0,100000,0,0.54,0,0
38732,120330,112500,90248,0.75,0,0
38733,1125000,798981,798981,0.71,3.24,3679781
38734,36931.02,26701,27698.26,0.75,0,0
38735,0,130820,0,0.75,0,0
38736,1254784.63,78750,941088.47,0.75,2.54,2981003
38737,10924,10740,8192.58,0.75,0,0
38738,3776453.78,2999810,3024410.03,0.8,1,3741110
38739,217983,308307,163487,0.75,3.26,1355520
38740,280000,215283,210000,0.75,0,0
38741,302874,134681,222246,0.75,12.56,3524914
38742,71973,35039,31860,0.44,2.81,215393
38755,118325,88743.75,50120.9,0.75,3.39,400544
38756,1720476.31,2276513,1647944.18,0.96,1.7,4140000
38760,1245699.6,749304.99,749304.99,0.6,2.22,1841043
38761,373662.68,249999.68,249999.68,0.67,8.28,3313176
38768,31721,25633,21604,0.68,1.37,21420
38769,34000,25500,25500,0.75,0,0
38770,201750,151312,151312,0.75,0,0
38771,235505,235505,2,1,0,0
38772,142591.65,131332.49,128332.49,0.9,0,0
38783,39411.63,112256,39411.63,1,0,0
38784,52120,39090,39090,0.75,0,0
38785,456840.88,548430,342630.66,0.75,2.64,1932000
38786,47376,34280,34280,0.72,1,46595
38787,807561.86,253634,605671.4,0.75,0,0
38789,12000,12906,9000,0.75,0,0
38790,48014,35028,35028,0.73,0,0
38791,3251652,2222439,2438739,0.75,2.54,7570666
38792,4500000,999995,4500000,1,0,0
38795,577494.06,467770.19,467770.19,0.81,1,577494.06
38797,112545.58,92967,84235.08,0.75,1.02,125832
38798,583800,437850,437850,0.75,6.91,4802424
38825,10008,6493.49,7505.99,0.75,0,0
38826,45248,33936,33936,0.75,0,0
38827,15753.69,12534,11815.27,0.75,0,0
38828,24207.31,20800,18155.48,0.75,0,0
38829,6275222,403268.02,4706416.5,0.75,1.46,9159762
38832,548000,411000,411000,0.75,1.4,768059
38835,165939.86,124499.98,91973.17,0.75,40.3,7470499
38839,314356.91,473024.15,270346.94,0.86,2.01,1104000
38846,386822,762209,285216,0.74,1.08,1052293
38847,1012941,305498,1012941,1,0,0
38848,676286,295049,507215,0.75,13.86,5453804
38853,79389,79797,59542,0.75,0,0
38870,25000,18750,18750,0.75,0,0
38872,3475630,3196850,3128067,0.9,2.79,9735579
38873,546500,499814,473508,0.87,3.23,1900960
38876,292856.55,227857,227857,1,0,0
38878,122200,91650,91650,0.75,4.56,712947
38887,260610.5,208488.41,195457.88,0.75,0,0
38889,317020,245326,237765,0.75,9.91,269472
38890,21951,18478,16463,0.75,2.33,53576
38894,57736,72306,40000,0.69,1.11,99736
38896,905000,697452,678750,0.75,1.11,1010417
38897,4556,2528,3417,0.75,0,0
38898,52500,30482,39375,0.75,0,0
38899,5494,4307,4121,0.75,4.89,26876
38900,194163,33237,125224,0.64,1.47,284635
38901,23349,51222,17512,0.75,3.3,77135
38902,146947,168047,110210,0.75,2.32,502100
38903,381836,251373,286377,0.75,2.88,1105417
38904,438025,492915,328519,0.75,1.93,1210643
38905,264550,7460,0,0.75,1.13,298197
38906,0,35023,0,0.75,0,0
38907,61170,56837,45877,0.75,4.2,256945
38918,3906768.75,3516091.88,3055210.18,0.9,1.01,3791347.36
38921,651170.68,44175,488378.01,0.75,3.65,2022972
38924,73350,55012.5,55012.5,0.75,10.68,893533
38925,1682973.3,102836.79,900000,0.53,1.24,2098155
38929,1399640,228146,223146,0.9,9.42,29538022
38930,30000,27000,27000,0.9,0,0
38932,158130,118597.5,118597.5,0.75,1.59,263554
38934,2512991,222600,208687.5,0.75,3.15,8138314
38938,252860,177002,189645,0.75,0,0
38941,396395.52,343261.16,324384.3,0.82,15.83,6763642
38942,312375,593512.5,562275,0.9,0,0
38944,1500000,245100,232200,0.9,3.19,4829737
38945,0,17191.85,0,0.75,0,0
38946,629321,686010,629321,1,0,0
38955,165242.8,102923,102923,0.62,3.78,518082
38957,140289.54,170325,103473.4,0.74,0,0
38958,15000,11250,11250,0.75,0,0
38959,381817.65,20842.5,286363.24,0.75,1.1,428348
38960,38753,29440,29065,0.75,0,0
38961,10670,5120,10670,1,0,0
38964,26442,21244,19832,0.75,0,0
38965,62161,65294,46621,0.75,0,0
38966,384563,346804,336985,0.88,0,0
38967,146802,9383,110102,0.75,2.35,345311
38968,199221,103423,149416,0.75,2.8,370073
38969,131349,135984,98512,0.75,1.01,799763
38977,2277676,1708263.75,1708257,0.75,3.16,7207015
38979,5514162.55,4135621.9,4135621.9,0.75,1.6,8989979
38980,250000,187500,187500,0.75,1.86,463830
38983,18828,14337,14121,0.75,0,0
38984,22569,162640,16927,0.75,4.88,1301566
38985,1206401,957701,904801,0.75,1.12,1498718
38986,50000,37500,37500,0.75,0,0
38987,43559,30113,32669,0.75,0,0
39002,277900,31379,208425,0.75,1.23,583178
39003,516912,387684,387684,0.75,1.6,828000
39005,426472.3,60000,319854.23,0.75,4.74,2863351
39006,383386.19,264032,287540.09,0.75,2.26,828000
39007,40665,37500,28164.9,0.69,0,0
39008,136400,79500,102300,0.75,0,0
39009,61206.79,52125,45905.09,0.75,1,69500
39010,148460.72,112500,111345.54,0.75,0,0
39011,70480,56384,52860,0.75,2.99,247558
39012,11421,11421,11421,1,0,0
39014,51505,176250,38629,0.75,2.22,553107
39015,36332,27249,27249,0.75,0,0
39016,730957.26,790875,548217.95,0.75,4.76,5015484
39017,406852,305138,0,0.75,1.33,547048
39018,1558490,1168868,1168868,0.75,1.07,2201881
39019,7500,5625,5625,0.75,0,0
39021,111960,86250,83970,0.75,0,0
39022,204488,199573,204488,1,2.11,562208
39028,923170,692377.5,692377.5,0.75,1.1,1054528
39029,450000,337500,337500,0.75,1,1
39030,1000000,750000,750000,0.75,1.55,1551130
39032,260500,237810.45,234450,0.9,1,1
39043,1453842.49,825000,825000,0.57,1.26,2017835
39047,24593,18444,18444,0.75,0,0
39048,142754.85,105578,105577.5,0.74,3.76,528704
39049,45450,33675,33675,0.74,0,0
39050,31241,25500,23430.59,0.75,0,0
39051,157948,39487,157948,1,0,0
39052,99731.13,56000,74798.35,0.75,0,0
39053,463875.5,333916.5,257962.75,0.56,9.18,3067182
39054,137740,78952.25,103305,0.75,2.39,378562
39055,411317.3,83587.96,411317.3,1,0,0
39056,210000,157500,157500,0.75,0,0
39057,41670,31252.5,37503,0.9,0,0
39070,766608,414668,574956,0.75,2.53,1938000
39071,154400,123520,115800,0.75,0,0
39076,32863981,6760590.4,6338053.5,0.75,9.19,321714130
39083,18325369,1145634,13744027,0.75,0,0
39084,18967,16724,14225,0.75,0,0
39085,2374193,1557310,1780645,0.75,0,0
39086,477590,370588,358193,0.75,2.45,1170096
39088,653916,244709,490437,0.75,0,0
39090,116436,92912,87327,0.75,0,0
39093,8422748.97,265421.24,248832.41,0.75,1.43,12286646
39094,700000,660000,630000,0.9,2.32,1690261
39095,195514,156370.5,146635.5,0.75,0,0
39096,400000,300000,300000,0.75,0,0
39097,517284.86,543114.86,517284.86,1,9.8,5779151
39099,1063125,220500,206718.75,0.75,15.79,16781854
39100,20000,15000,15000,0.75,0,0
39101,859796,669435,644847,0.75,1.05,893603
39104,275334,215138,206501,0.75,0,0
39105,1586100,902344,821456,0.75,16.6,19277765
39106,7304,5663,5418,0.74,0,0
39107,27377,21216,20000,0.73,0,0
39108,366646,367539,274985,0.75,2.8,1319277
39109,26562,19922,19922,0.75,0,0
39110,73846,58176,0,0.75,2.04,150639
39111,18000,14460,13499,0.75,0,0
39112,120979,131611,90734,0.75,1.88,226948
39113,393688,344187,295266,0.75,1.42,631668
39114,601717,486658,451288,0.75,1.12,1043421
39115,113333,85000,43053,0.75,0,0
39117,45856,37500,34392,0.75,0,0
39118,20000,15000,15000,0.75,0,0
39119,1207939,905954,905954,0.75,13.97,28231451
39120,9579713,9595238,9579713,1,0,0
